#{"t_start": 1642403457.640125, "env_id": null}
r,l,t
0.452679,4,0.017926
0.253283,4,0.027835
0.369392,4,0.043659
0.59348,4,0.054662
0.2429,4,0.068285
0.992032,4,0.082017
0.686149,4,0.093651
0.200693,4,0.105353
0.771377,4,0.117373
0.612417,4,0.128613
0.439547,4,0.140321
0.836678,4,0.149829
0.962187,4,0.160931
0.769203,4,0.171647
0.404253,4,0.183758
0.666432,4,0.194189
0.955051,4,0.207156
0.607814,4,0.217195
0.93392,4,0.226212
0.363241,4,0.23472
0.993342,4,0.243004
0.515214,4,0.255125
0.877402,4,0.268313
0.802587,4,0.279329
0.490365,4,0.290203
0.286623,4,0.302194
0.570348,4,0.315154
0.747849,4,0.328146
0.473198,4,0.340533
0.838274,4,0.351187
0.719544,4,0.361481
0.942227,4,0.372464
0.368526,4,0.380457
0.27595,4,0.388461
0.803047,4,0.396466
0.821787,4,0.403193
0.724483,4,0.411182
0.677855,4,0.422211
0.351325,4,0.433246
0.898262,4,0.445194
0.654326,4,0.457066
0.650563,4,0.468646
0.761165,4,0.479252
0.554516,4,0.492252
0.610299,4,0.505087
0.840439,4,0.517933
0.80675,4,0.529063
0.601403,4,0.541092
0.929933,4,0.554109
0.550352,4,0.567794
0.603095,4,0.602473
0.89072,4,0.625177
0.142179,4,0.641489
0.728728,4,0.65563
0.93472,4,0.673703
0.294359,4,0.707238
0.666947,4,0.722462
0.940173,4,0.747055
0.394053,4,0.763962
0.4024,4,0.777964
0.564778,4,0.793459
0.72569,4,0.809737
0.950837,4,0.823459
0.761289,4,0.838218
0.566569,4,0.854704
0.917471,4,0.868495
0.402211,4,0.882735
0.95836,4,0.895892
0.673281,4,0.909271
0.999162,4,0.92218
0.818844,4,0.935079
0.329754,4,0.94952
0.680107,4,0.96252
0.632306,4,0.97646
0.371618,4,0.991033
0.490127,4,1.004985
0.579224,4,1.018286
0.60029,4,1.031943
0.578921,4,1.046721
0.600441,4,1.059262
0.378318,4,1.073485
0.914615,4,1.086627
0.985544,4,1.101348
0.446802,4,1.118453
0.748912,4,1.130731
0.177242,4,1.143735
0.616968,4,1.157007
0.787173,4,1.169491
0.762805,4,1.185063
0.703359,4,1.200034
0.968628,4,1.215622
0.82336,4,1.229624
0.370842,4,1.244642
0.74836,4,1.258961
0.770985,4,1.272277
0.869308,4,1.29022
0.637979,4,1.307981
0.643239,4,1.338325
0.613694,4,1.369416
0.588446,4,1.397527
0.602595,4,1.41865
0.901085,4,1.441238
0.656483,4,1.462514
0.892158,4,1.489714
0.563925,4,1.517904
0.413333,4,1.541917
0.993223,4,1.568488
0.817441,4,1.598362
0.327151,4,1.630116
0.915182,4,1.664824
0.86747,4,1.700841
0.359914,4,1.730826
0.967144,4,1.757009
0.734552,4,1.785452
0.639991,4,1.812273
0.835139,4,1.836106
0.14902,4,1.874724
0.666147,4,1.914022
0.101094,4,1.970088
0.247811,4,2.007703
0.735128,4,2.040233
0.340208,4,2.070648
0.981368,4,2.106017
0.808355,4,2.143219
0.785735,4,2.17206
0.806957,4,2.210943
0.732458,4,2.238914
0.536963,4,2.258927
0.260223,4,2.275753
0.682058,4,2.295605
0.716972,4,2.316827
0.54298,4,2.339305
0.942072,4,2.357995
0.132311,4,2.377589
0.96213,4,2.405689
0.612484,4,2.428836
0.723444,4,2.448819
0.556964,4,2.467656
0.514472,4,2.492131
0.145857,4,2.522671
0.865483,4,2.554839
0.768032,4,2.5796
0.981708,4,2.602409
0.812737,4,2.624222
0.784215,4,2.646878
0.717832,4,2.663621
0.771655,4,2.68339
0.824859,4,2.702421
0.541892,4,2.72174
0.447047,4,2.739264
0.513688,4,2.763455
0.386487,4,2.789411
0.990992,4,2.812724
0.245099,4,2.829652
0.709968,4,2.850246
0.97384,4,2.871299
0.733501,4,2.887744
0.732528,4,2.904756
0.982602,4,2.922117
0.922114,4,2.941876
0.809675,4,2.963641
0.993619,4,2.98266
0.504071,4,3.001242
0.496696,4,3.020371
0.817185,4,3.038382
0.059676,4,3.05361
0.55147,4,3.068767
0.594723,4,3.085864
0.676896,4,3.106315
0.230534,4,3.125331
0.576704,4,3.138266
0.469775,4,3.149616
0.300977,4,3.160863
0.956481,4,3.172906
0.496651,4,3.188229
0.587092,4,3.203046
0.405552,4,3.22258
0.978479,4,3.239645
0.967148,4,3.260285
0.724957,4,3.280469
0.580647,4,3.299809
0.967946,4,3.3253
0.515707,4,3.348151
0.926223,4,3.362819
0.478086,4,3.375949
0.699943,4,3.392526
0.609318,4,3.408394
0.693851,4,3.421411
0.939096,4,3.435018
0.612374,4,3.450103
0.626104,4,3.4651
0.379434,4,3.478203
0.185075,4,3.489936
0.691316,4,3.505685
0.723515,4,3.519548
0.563309,4,3.536906
0.608111,4,3.557672
0.62372,4,3.578202
0.200698,4,3.596518
0.292038,4,3.609525
0.738499,4,3.627677
0.551502,4,3.642967
0.679375,4,3.656512
0.528946,4,3.67288
0.866359,4,3.689897
0.878775,4,3.70481
0.541167,4,3.721265
0.980263,4,3.737185
0.837756,4,3.752275
0.07932,4,3.766913
0.782344,4,3.78193
0.910387,4,3.799182
0.655988,4,3.817329
0.738946,4,3.833059
0.43262,4,3.848249
0.886343,4,3.864523
0.684301,4,3.883035
0.832023,4,3.906145
0.660726,4,3.929018
0.436012,4,3.943878
0.853305,4,3.958613
0.663475,4,3.975194
0.84611,4,3.989945
0.969486,4,4.005807
0.632751,4,4.023433
0.559827,4,4.037984
0.324717,4,4.054042
0.876695,4,4.070023
0.110911,4,4.085094
0.581078,4,4.099017
0.605863,4,4.114915
0.62769,4,4.129075
0.758416,4,4.141076
0.782587,4,4.151454
0.541233,4,4.161475
0.205889,4,4.172331
0.728003,4,4.186298
0.676495,4,4.205673
0.710667,4,4.221671
